Income,Rent,Food,Transport,Shopping,Entertainment,Healthcare,Education,Bills,Other,Total_Expenses,Savings,Budget_Health,Expense_Ratio,Calculated_Savings,Spending_Level,Recommendation,Highest_Expense_Category
37185,17946,2825,5835,4735,3889,3483,1386,4369,906,44468,-7283,Overspending,119.58585451122765,-7283,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
88704,9642,9668,4775,9434,2579,4778,3344,1939,1514,46159,42545,Saving,52.03711219336219,42545,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Food
64099,16312,7745,3508,3590,3217,4959,2704,1525,4931,43560,20539,Saving,67.95737843024072,20539,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
33571,12679,3516,3779,2063,2832,538,1598,1001,2338,28006,5565,Saving,83.42319263650174,5565,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
63044,13208,5146,1924,5324,3876,4459,2323,1374,3688,37634,25410,Saving,59.694816318761504,25410,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
76214,23589,2412,3956,6342,2000,4087,3701,3340,1214,49427,26787,Saving,64.85291416275226,26787,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
86228,15716,9543,2581,1005,785,1420,3655,5005,4646,39710,46518,Saving,46.0523263904996,46518,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
73984,22453,9587,4324,8489,3995,3269,3593,4052,4354,59762,14222,Saving,80.77692474048442,14222,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
65774,8444,2728,5485,9659,2565,4611,4030,5648,4919,43170,22604,Saving,65.63383707848087,22604,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Shopping
27568,15757,5348,1255,9195,1268,992,4278,3365,640,41458,-13890,Overspending,150.38450377248984,-13890,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
87592,19434,9164,5804,6966,3557,1631,3396,2525,1463,52477,35115,Saving,59.910722440405515,35115,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
92563,6060,4808,2838,9837,4789,4021,3953,6947,872,43253,49310,Saving,46.728174324514114,49310,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Shopping
27695,23711,2675,2944,1117,2661,810,4011,5476,4135,43405,-15710,Overspending,156.72504062105074,-15710,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
73190,8420,5465,1009,3551,3793,1238,1488,2646,3041,27610,45580,Saving,37.72373275037573,45580,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
30258,5301,7988,3871,6560,1446,3741,4616,1013,4110,34536,-4278,Overspending,114.13840967677969,-4278,High Spending,Overspending detected. Review your Food expenses and reduce unnecessary spending.,Food
64504,17468,4504,1797,5289,3835,1045,4526,5599,2192,44063,20441,Saving,68.31049237256605,20441,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
58159,21990,4967,5972,1846,4650,2961,4679,3278,605,50343,7816,Saving,86.5609793841022,7816,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
38986,24554,8335,2015,7316,1981,4846,2182,4155,2181,55384,-16398,Overspending,142.0612527574001,-16398,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
86858,5699,4786,2824,7469,2401,2304,4463,1129,4597,31075,55783,Saving,35.776785097515486,55783,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Shopping
37666,5190,9856,5469,9915,3951,3712,1433,4814,4516,44340,-6674,Overspending,117.71889767960495,-6674,High Spending,Overspending detected. Review your Shopping expenses and reduce unnecessary spending.,Shopping
63660,15492,3122,4136,1224,4564,4310,4098,5933,3136,42879,20781,Saving,67.35626767200755,20781,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
28561,22364,6079,3193,5208,554,1313,3733,4216,2637,46660,-18099,Overspending,163.36962991491896,-18099,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
51854,7975,3571,1223,7283,2323,4624,2480,3938,3916,33417,18437,Saving,64.44440158907703,18437,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
89505,11102,7073,5948,3048,3962,2532,2355,4928,4945,40948,48557,Saving,45.74939947488967,48557,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
77251,22568,7104,5158,7233,3579,4913,3556,3040,4030,57151,20100,Saving,73.98091934084997,20100,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
47662,24711,4143,4925,2828,1332,744,1292,1027,1786,41002,6660,Saving,86.02660400318912,6660,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
33392,24778,3687,5784,2917,4908,771,1291,3113,3679,47249,-13857,Overspending,141.497963584092,-13857,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
55535,6816,8806,5000,5234,3306,4011,2309,2252,4154,37734,17801,Saving,67.94634014585397,17801,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Food
77256,5569,9357,2633,7988,2990,2271,2755,5356,2859,38919,38337,Saving,50.376669773221494,38337,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Food
60222,10442,9903,3152,3026,827,1762,4110,3046,944,36268,23954,Saving,60.223838464348574,23954,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
88335,6895,6132,1510,4744,3810,2924,2107,6568,535,34690,53645,Saving,39.27095715175186,53645,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
35965,24117,5851,1384,1009,3800,4861,1484,6543,1975,49049,-13084,Overspending,136.37981370777143,-13084,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
49538,8863,5440,1404,1260,4175,1420,4176,5555,4457,32293,17245,Saving,65.18834026403972,17245,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
95592,17913,5766,5613,7038,3554,3930,3880,5023,2298,52717,42875,Saving,55.14792032806093,42875,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
33110,12455,7644,5571,3219,2643,4935,1019,5396,2345,42882,-9772,Overspending,129.5137420718816,-9772,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
52266,9014,4326,3000,8041,1811,4984,1090,4374,1908,36640,15626,Saving,70.10293498641565,15626,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
77992,16093,8360,3756,3060,3691,3124,1550,4466,2208,44100,33892,Saving,56.54426094984101,33892,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
31910,23070,4914,2668,6287,3038,4260,4133,4081,3438,52451,-20541,Overspending,164.37167032278285,-20541,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
25206,8009,6968,2460,2619,4483,2550,4944,4778,1800,36811,-11605,Overspending,146.04062524795685,-11605,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
48419,21538,7917,4636,9512,664,4000,1459,1629,1743,51355,-2936,Overspending,106.06373531051861,-2936,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
75636,15729,7392,3724,2342,4777,1665,1192,1269,4476,38090,37546,Saving,50.35961711354382,37546,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
75015,6409,5952,5809,3832,1322,875,4399,3639,3597,32237,42778,Saving,42.974071852296206,42778,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
79268,17249,8205,5178,3824,1443,2533,4973,2993,509,46398,32870,Saving,58.53307766059444,32870,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
43141,5784,2595,3048,2994,4925,645,3446,6724,2925,30161,12980,Saving,69.91261213231034,12980,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Bills
96910,13096,7999,5146,4490,1274,4888,1026,6897,2160,44816,52094,Saving,46.244969559385,52094,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
81044,12560,2728,5780,8984,2698,931,3724,3891,3131,41296,39748,Saving,50.955036770149555,39748,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
92214,17533,3365,1716,2604,3656,1204,2753,5957,1572,38788,53426,Saving,42.06302730604897,53426,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
58827,12343,6492,5544,1235,4742,3132,3844,4432,3725,41764,17063,Saving,70.99461131793224,17063,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
80820,12206,2698,5976,2908,4195,4994,4465,2280,1816,39722,41098,Saving,49.148725562979465,41098,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
87623,10801,9186,5583,9567,3952,1463,2375,6895,4645,49822,37801,Saving,56.85950035949465,37801,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
47299,24190,8320,2823,4530,1414,2734,2263,6802,4183,53076,-5777,Overspending,112.21378887502907,-5777,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
68585,21921,7731,3081,6256,1808,2541,1020,3360,3773,47718,20867,Saving,69.57497995188452,20867,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
89044,10986,2395,4419,3635,4677,2328,1516,1575,645,31531,57513,Saving,35.41058353173712,57513,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
67557,23225,8588,2574,9162,1013,2608,616,2307,3540,50093,17464,Saving,74.14923694065752,17464,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
74080,15647,9400,1249,3560,2420,4568,2933,4192,1962,43969,30111,Saving,59.35340172786178,30111,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
27693,13716,6171,1673,6415,4094,1438,1083,4178,2084,38768,-11075,Overspending,139.9920557541617,-11075,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
94163,24334,6360,5533,4391,1909,1306,894,3734,982,48461,45702,Saving,51.46501279695846,45702,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
50939,17323,4502,3165,6951,3690,1963,4288,3212,3679,45094,5845,Saving,88.5254912738766,5845,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
73925,9780,3819,1770,6468,4991,3915,3268,3352,1749,37363,36562,Saving,50.54176530267163,36562,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
67941,7368,2717,4962,9007,2055,510,4667,4568,1130,35854,32087,Saving,52.772258282921946,32087,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Shopping
46834,17039,4782,5363,7413,1304,2368,4360,2655,1161,45284,1550,Saving,96.69043857026946,1550,High Spending,High spending level. Monitor your Rent expenses and look for opportunities to save.,Rent
43047,11655,9551,2984,7941,1779,1384,773,2579,4003,38646,4401,Saving,89.77629103073384,4401,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
51105,13173,9731,2077,5820,4077,4064,2513,6943,3352,48398,2707,Saving,94.70306232266901,2707,High Spending,High spending level. Monitor your Rent expenses and look for opportunities to save.,Rent
40707,9495,6946,1235,3898,3401,1889,4933,3203,2966,35000,5707,Saving,85.98029822880585,5707,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
46976,15893,5577,1388,8546,1887,3901,1889,2390,1487,41471,5505,Saving,88.28125,5505,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
69262,18403,7486,4037,1077,3261,4821,4066,2742,2046,45893,23369,Saving,66.25999826744824,23369,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
48776,18121,2143,5858,8577,3179,1324,665,2925,1149,42792,5984,Saving,87.73167131376086,5984,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
55080,15966,6980,2848,5227,2606,2765,2067,1619,1468,40078,15002,Saving,72.76325344952797,15002,Moderate Spending,Moderate spending level. Keep monitoring your Rent expenses and maintain your savings.,Rent
91842,5853,5140,5719,1600,4723,1436,1228,2274,3137,27973,63869,Saving,30.45774264497724,63869,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
86373,21958,9266,3814,2065,3268,3300,2543,1956,1600,48170,38203,Saving,55.76974285945839,38203,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
31776,22532,6491,4374,3136,4453,3053,4697,2939,940,51675,-19899,Overspending,162.62273413897282,-19899,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
80016,14907,9192,4278,7943,3686,4345,3996,4953,1269,53300,26716,Saving,66.61167766446711,26716,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
34474,9777,9091,2252,8804,3780,2296,1278,3381,1843,40659,-6185,Overspending,117.94105702848523,-6185,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
83053,20338,4938,4981,7565,3073,553,713,1968,4858,44129,38924,Saving,53.133541232706825,38924,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
46959,7491,7588,5673,6984,3099,1226,4262,2316,4229,38639,8320,Saving,82.28241657616219,8320,Moderate Spending,Moderate spending level. Keep monitoring your Food expenses and maintain your savings.,Food
30530,20328,9651,3122,6142,4533,3236,2076,2043,4406,51131,-20601,Overspending,167.47789059941042,-20601,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
28748,19599,5636,5530,5670,736,3670,2948,1281,2077,45070,-16322,Overspending,156.7761235564213,-16322,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
38545,24508,5222,3150,3190,1804,2413,3436,3844,4508,47567,-9022,Overspending,123.40640809443508,-9022,High Spending,Overspending detected. Review your Rent expenses and reduce unnecessary spending.,Rent
91199,8051,3167,5859,3712,3930,2096,3617,2058,3851,32490,58709,Saving,35.62539062928322,58709,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
59766,20979,4616,2329,3192,1801,2414,1091,5293,2849,41715,18051,Saving,69.79720911555066,18051,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
98530,21388,3062,2358,2248,3041,2966,3220,3532,4102,41815,56715,Saving,42.43885111133665,56715,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
86087,5876,4156,3482,5033,2551,3237,1213,4828,1741,30376,55711,Saving,35.28523470442691,55711,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
93840,9142,9860,5542,2997,941,1349,1435,6178,1625,37444,56396,Saving,39.90196078431373,56396,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Food
79384,20202,7161,3017,4687,2576,2609,4837,6280,3101,51369,28015,Saving,64.70951325204072,28015,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
76005,11966,7305,2331,5018,3680,502,501,2008,1690,33311,42694,Saving,43.82737977764621,42694,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
71576,12079,4982,5344,2970,3157,4755,3348,2229,4631,38864,32712,Saving,54.29752989828993,32712,Low Spending,Good budgeting pattern. Continue maintaining your savings and monitoring expenses.,Rent
